id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10,  Spacious 2BR  ,75847,Maria,brooklyn,Greenpoint,40.59158,-73.73783,Private room,97778,5,36,4/9/2019,4.86,19,276
286,Cozy apartment near park,84558,Chris,staten island,St. George,40.50063,-74.09041,private room,178,1,377,14/10/2014,0.46,7,179
675,Cozy apartment near park,20892,Daniel,QUEENS,Elmhurst,40.88867,-74.02696,entire home/apt,72,365,99,11/8/2013,1.99,19,181
100,Cozy apartment near park,90224,Anna,BRONX,Fordham,40.81046,-73.86895,private room,365,1,298,3/17/2018,7.21,8,194
668,,35757,John,QUEENS,Ridgewood,40.87452,-73.71388,entire home/apt,244,1,186,1/3/2012,2.05,20,206
644,  Spacious 2BR  ,91926,,Brooklyn,Williamsburg,40.81665,-73.8112,PRIVATE ROOM,452,5,211,8/3/2016,,3,49
172,Sunny room in the heart of NYC,42774,Sarah,Staten island,Tompkinsville,40.64049,-73.94986,Private room,282,30,295,3/15/2014,7.99,9,17
633,Modern studio,91290,Robert,Brooklyn ,Kensington,40.74623,-73.88434,PRIVATE ROOM,163,2,355,19/06/2011,2.16,6,223
573,Quiet private room,27680,James,QUEENS,Ridgewood,40.60701,-73.82089,Shared room,155,365,53,6/14/2011,9.51,5,248
307,  Spacious 2BR  ,90589,James,Staten island,Stapleton,40.52173,-73.99424,Private room,405,1,26,13/08/2013,3.02,13,272
911,Beautiful loft,51070,Maria,The Bronx,Concourse,40.75921,-74.02053,PRIVATE ROOM,282,1000,224,7/13/2012,5.57,4,149
473,Quiet private room,69506,Sofia,BRONX,Riverdale,40.62024,-73.72151,private room,$366 ,365,400,18/11/2015,1.41,12,251
452,Quiet private room,56579,Emma,Brooklyn,Bedford-Stuyvesant,40.6021,-73.73477,private room,420,5,260,23/11/2018,6.97,8,333
95,Quiet private room,76718,Daniel,Manhatan,Upper West Side,40.60699,-74.00083,private room,153,1,25,7/28/2015,4.19,11,81
891,Quiet private room,43844,David,Staten island,Stapleton,40.52795,-74.07782,entire home/apt,79847,2,341,9/16/2018,1.13,5,251
409,Sunny room in the heart of NYC,22157,James,Staten island,Tompkinsville,40.86872,-73.99068,Entire Home/Apt,$30 ,3,348,6/27/2017,2.14,18,261
485,,90356,Daniel,Manhattan,Midtown,40.79757,-73.7396,Shared room,0,1,341,22/08/2014,1.2,5,250
578,,80996,Sarah,QUEENS,Flushing,40.50355,-74.0852,PRIVATE ROOM,$266 ,5,245,4/14/2019,5.8,18,40
769,Quiet private room,91010,John,staten island,Tompkinsville,40.82052,-74.0782,Entire home/apt,92,1,142,18/09/2012,1.28,14,49
680,  Spacious 2BR  ,48520,Olivia,staten island,St. George,40.7839,-73.7538,Entire Home/Apt,329,30,388,4/17/2015,0.89,8,308
453,Quiet private room,77829,,BROOKLYN,Kensington,40.68219,-73.82757,Entire Home/Apt,??,3,126,1/4/2013,6.45,3,196
519,,91819,Olivia,Manhatan,Midtown,40.80127,-74.03419,PRIVATE ROOM,-269,5,214,8/18/2018,7.84,19,356
626,Sunny room in the heart of NYC,99524,Chris,Staten island,St. George,40.51076,-73.74576,Shared room,409,1,393,12/6/2014,5.02,13,0
636,Beautiful loft,4875,Anna,Staten Island,Stapleton,40.72453,-73.96188,PRIVATE ROOM,70,2,382,10/6/2019,7.51,5,231
479,Sunny room in the heart of NYC,96676,David,Staten Island,Tompkinsville,40.88105,-73.89176,Shared room,287,2,156,14/05/2012,8.45,8,324
474,Beautiful loft,35167,Michael,Brooklyn,Williamsburg,40.58609,-74.04632,Entire home/apt,183,365,110,5/5/2016,6.23,13,38
320,Sunny room in the heart of NYC,95004,Chris,BROOKLYN,Bedford-Stuyvesant,40.55076,-74.04276,Entire Home/Apt,425,3,267,7/8/2018,6.11,16,19
205,Quiet private room,51418,James,Brooklyn,Greenpoint,40.81243,-73.73593,entire home/apt,277,1000,88,2/13/2013,6.01,14,164
285,  Spacious 2BR  ,47380,Robert,Manhattan,Harlem,40.53507,-73.81037,private room,352,1000,361,20/07/2015,2.6,5,294
173,Quiet private room,14272,Maria,queens,Elmhurst,40.89122,-73.96482,Private room,310,1000,247,7/21/2011,6.08,11,222
154,,4847,James,Manhattan,Harlem,40.88121,-73.8908,Entire Home/Apt,35,3,85,24/03/2016,7.33,11,60
809,Quiet private room,17217,Anna,staten island,Stapleton,40.6311,-73.81528,Shared room,43,1,268,6/4/2012,9.75,6,170
615,,23179,Robert,Brooklyn,Bedford-Stuyvesant,40.71763,-73.70664,Entire Home/Apt,$190 ,2,335,6/27/2011,8.48,19,162
743,Cozy apartment near park,21904,Lisa,staten island,Stapleton,40.59941,-73.85345,private room,371,1,15,1/9/2011,3.04,4,195
361,Quiet private room,15884,John,manhattan,Chelsea,40.86446,-73.84643,PRIVATE ROOM,193,7,136,6/11/2015,6.87,5,120
505,,19892,Maria,The Bronx,Mott Haven,40.89756,-74.09314,Entire Home/Apt,$215 ,365,242,2/2/2013,3.61,18,71
659,Modern studio,89823,Anna,brooklyn,Kensington,40.88288,-73.95551,PRIVATE ROOM,394,30,382,11/3/2014,2.28,9,185
694,Modern studio,93702,Emma,Staten island,St. George,40.87961,-73.94502,Shared room,236,7,195,28/03/2018,1.84,14,159
187,Modern studio,62706,Sofia,brooklyn,Bushwick,40.81396,-73.73739,Entire Home/Apt,381,5,259,3/27/2015,8.77,5,92
447,,91092,Robert,QUEENS,Astoria,40.61538,-74.09052,private room,$$$$,5,175,4/18/2014,9.07,8,340
683,Cozy apartment near park,83328,Maria,Manhatan,Upper West Side,40.6575,-73.80228,Entire Home/Apt,339,5,331,8/19/2018,0.38,14,204
592,Sunny room in the heart of NYC,6027,,BROOKLYN,Kensington,40.56269,-73.96587,Entire Home/Apt,$402 ,30,322,11/25/2019,7.07,14,161
14,,11745,,Brooklyn ,Greenpoint,40.53204,-74.02567,PRIVATE ROOM,59,1000,34,7/4/2014,2.47,14,304
672,,32172,Lisa,Manhatan,East Village,40.8403,-73.80083,Shared room,326,7,323,4/6/2011,1.44,6,17
410,Quiet private room,43157,Emma,Brooklyn ,Kensington,40.85131,-74.01566,PRIVATE ROOM,314,365,162,11/9/2016,4.53,11,125
55,Modern studio,52717,Robert,Manhatan,East Village,40.54607,-73.71484,PRIVATE ROOM,475,1,386,11/24/2014,9.8,1,285
703,,55511,,Staten Island,Tompkinsville,40.59847,-73.83259,PRIVATE ROOM,$109 ,7,348,4/21/2015,9.14,14,209
427,Modern studio,65853,Anna,Staten island,Stapleton,40.75803,-73.89634,Entire home/apt,228,30,265,3/11/2018,3.75,16,355
938,Cozy apartment near park,31083,John,BROOKLYN,Bushwick,40.89773,-73.70846,Entire Home/Apt,46,5,368,9/27/2019,2.67,10,117
953,Sunny room in the heart of NYC,3367,Chris,BRONX,Riverdale,40.67405,-73.89768,Shared room,$457 ,1,295,28/03/2013,4.97,2,0
610,,52543,Sofia,bronx,Mott Haven,40.85838,-74.07912,Private room,30,365,225,16/11/2017,3.03,13,60
784,Cozy apartment near park,57807,Chris,brooklyn,Greenpoint,40.74517,-73.96123,Shared room,57876,5,145,1/26/2016,5.86,17,224
654,Modern studio,36308,Emma,queens,Ridgewood,40.6585,-74.03129,Entire Home/Apt,110,1,312,17/06/2013,6.54,8,213
904,,28160,Robert,Staten Island,St. George,40.82404,-73.9153,Shared room,$84 ,1,56,9/2/2011,7.97,1,263
99,Sunny room in the heart of NYC,49281,Michael,bronx,Riverdale,40.79573,-73.98031,private room,000.000l,5,259,9/16/2019,5.63,11,243
771,Cozy apartment near park,37630,Maria,Bronx,Mott Haven,40.60789,-73.9055,Entire home/apt,344,1,126,8/4/2017,6.1,4,88
930,,44778,Maria,Bronx,Concourse,40.81957,-73.74965,Private room,430,1,324,7/11/2013,2.9,20,55
755,  Spacious 2BR  ,66807,James,Staten Island,Tompkinsville,40.58662,-73.93576,Shared room,390,1,350,10/28/2013,7.81,6,259
47,,64483,Robert,bronx,Fordham,40.8737,-73.8969,Shared room,467,1,144,10/19/2015,4.9,12,76
511,,13763,,Bronx,Concourse,40.62344,-73.70778,Entire home/apt,$0 ,3,203,11/4/2019,7.26,11,66
823,  Spacious 2BR  ,92208,Olivia, Queens,Long Island City,40.5374,-73.99987,Entire home/apt,151,1000,274,1/16/2014,,1,85
721,Sunny room in the heart of NYC,45713,David,Bronx,Fordham,40.52977,-73.95064,PRIVATE ROOM,$420 ,1,292,2/28/2014,0.11,20,6
326,  Spacious 2BR  ,70615,Daniel,staten island,St. George,40.63092,-73.86821,Entire Home/Apt,476,1000,76,7/2/2011,,13,258
979,Sunny room in the heart of NYC,18123,Michael,brooklyn,Kensington,40.84095,-74.04777,Shared room,$386 ,30,254,3/23/2016,2.44,17,99
866,,24651,Lisa,Brooklyn ,Bedford-Stuyvesant,40.59438,-73.93797,Entire Home/Apt,-490,1,7,1/13/2016,1.44,8,337
257,,9302,Maria,bronx,Concourse,40.50029,-73.84479,Shared room,307,7,375,20/01/2013,7.76,18,122
404,  Spacious 2BR  ,27975,Sarah,Brooklyn,Williamsburg,40.7281,-74.02424,private room,$417 ,30,257,2/22/2011,1.81,8,9
738,,43329,John,Manhattan,Chelsea,40.50969,-73.84284,Private room,360,2,245,1/8/2011,9.5,13,70
421,Sunny room in the heart of NYC,27263,Lisa,bronx,Mott Haven,40.88811,-73.89293,entire home/apt,205jsask,1,29,9/27/2014,,7,216
837,Beautiful loft,83789,Lisa,Manhattan,Midtown,40.79009,-73.88867,entire home/apt,96,2,53,3/5/2015,8.74,13,199
779,Modern studio,18813,Emma,manhattan,Upper West Side,40.59832,-74.02994,PRIVATE ROOM,430,1,365,3/21/2014,7.55,1,34
894,Sunny room in the heart of NYC,88032,James,Staten Island,Tompkinsville,40.72821,-73.72859,PRIVATE ROOM,137,1,11,11/19/2013,7.79,1,300
271,Sunny room in the heart of NYC,64525,David,Brooklyn,Bedford-Stuyvesant,40.64409,-74.05684,Entire Home/Apt,466,3,332,4/13/2017,9.77,20,50
682,Sunny room in the heart of NYC,85237,,Staten Island,Stapleton,40.8305,-73.90486,entire home/apt,83,1000,289,10/17/2017,3.83,4,308
579,,58712,John,Staten Island,Tompkinsville,40.55089,-73.84786,PRIVATE ROOM,162,1,316,4/4/2011,0.39,19,350
456,,39420,Sarah,Manhattan,East Village,40.79997,-73.77633,private room,125,2,132,8/21/2017,1.1,3,325
25,Quiet private room,7582,,Staten island,Stapleton,40.59759,-73.83758,Private room,226,1,384,7/8/2012,8.04,18,356
624,Cozy apartment near park,73790,Emma,Manhatan,East Village,40.58016,-74.03117,entire home/apt,30,3,41,4/28/2013,4.37,12,125
753,Sunny room in the heart of NYC,51299,Michael,staten island,St. George,40.75409,-73.86267,Shared room,none,30,16,6/12/2018,2.57,18,242
581,Cozy apartment near park,22012,James,QUEENS,Elmhurst,40.50988,-73.85721,Entire home/apt,478,5,171,12/11/2017,9.43,12,150
911,Beautiful loft,51070,Maria,The Bronx,Concourse,40.75921,-74.02053,PRIVATE ROOM,282,1000,224,7/13/2012,,4,149
473,Quiet private room,69506,Sofia,BRONX,Riverdale,40.62024,-73.72151,private room,$366 ,365,400,18/11/2015,1.41,12,251
223,Modern studio,69337,Anna,brooklyn,Bedford-Stuyvesant,40.76743,-73.89285,Private room,-239,5,198,8/2/2018,9.81,9,165
26,Modern studio,63216,Daniel,Brooklyn ,Williamsburg,40.73818,-73.71998,PRIVATE ROOM,301knskj,30,313,7/27/2019,4.46,15,81
843,Sunny room in the heart of NYC,10994,Daniel,staten island,Tompkinsville,40.82922,-73.86157,Entire Home/Apt,165,7,1,7/12/2014,,10,68
597,,82957,David, Queens,Elmhurst,40.52185,-73.9058,PRIVATE ROOM,234,2,173,15/05/2011,2.22,4,85
61,Sunny room in the heart of NYC,53640,Emma,Brooklyn,Bedford-Stuyvesant,40.6808,-74.01138,entire home/apt,292,1000,22,5/15/2019,9.64,14,31
147,Sunny room in the heart of NYC,57260,,manhattan,Chelsea,40.76184,-73.99984,Private room,478,5,340,1/13/2013,3.06,3,358
109,,60634,Michael,Brooklyn ,Bushwick,40.85512,-73.79206,Private room,287,1,327,6/20/2015,2.2,20,68
516,,24628,Daniel,Manhattan,Midtown,40.65971,-74.07081,PRIVATE ROOM,222,7,236,15/06/2012,6.43,4,238
359,Modern studio,55304,Anna,Bronx,Riverdale,40.67084,-73.96107,Shared room,-460,1,333,26/09/2015,4.33,13,276
76,Cozy apartment near park,71748,Chris,Staten island,Tompkinsville,40.63669,-73.79354,Entire home/apt,122,2,115,3/3/2013,8.45,17,51
254,Sunny room in the heart of NYC,21315,Maria,Queens,Long Island City,40.56694,-73.98956,Entire home/apt,252,1,202,1/2/2014,7.84,12,243
962,Beautiful loft,91004,Lisa,QUEENS,Astoria,40.51102,-73.70395,Entire home/apt,388,1,119,4/2/2012,7.79,1,198
934,Beautiful loft,35698,James,brooklyn,Kensington,40.8538,-73.96314,Private room,147,7,177,2/9/2017,5.55,17,325
971,Modern studio,55264,Maria,Manhatan,Chelsea,40.51278,-74.08407,PRIVATE ROOM,37,7,346,6/8/2011,6.38,17,276
992,,74004,David,Brooklyn,Greenpoint,40.71233,-73.95749,Entire Home/Apt,92,1,72,2/12/2012,5.49,9,47
126,Cozy apartment near park,52996,Chris,BRONX,---,40.78967,-73.89968,PRIVATE ROOM,434,5,27,7/8/2012,3.41,11,314
180,Quiet private room,65437,David,Staten Island,Stapleton,40.85583,-73.9674,private room,$235 ,2,25,5/12/2018,3.39,4,155
345,Sunny room in the heart of NYC,28504,Michael,QUEENS,Long Island City,40.88804,-74.03112,PRIVATE ROOM,335,3,14,4/5/2012,1.43,5,116
105,Cozy apartment near park,31437,,Staten Island,Stapleton,40.56318,-73.83884,PRIVATE ROOM,311,30,244,11/5/2014,6.46,18,45
545,,92686,Michael, Queens,Ridgewood,40.88359,-74.01217,entire home/apt,55,1,18,4/3/2015,1.02,13,115
197,Sunny room in the heart of NYC,45921,Michael, Queens,Astoria,40.8408,-73.83466,Entire home/apt,$485 ,1,168,20/08/2016,8.79,6,47
759,Sunny room in the heart of NYC,35472,Daniel,QUEENS,Elmhurst,40.85021,-74.0516,entire home/apt,154,1,44,7/11/2013,6.6,16,279
554,Sunny room in the heart of NYC,40460,James,staten island,Tompkinsville,40.56932,-73.92567,Entire home/apt,184,5,296,11/25/2013,2.51,10,213
398,,20209,Sarah,manhattan,Chelsea,40.72911,-74.04401,Shared room,431,7,266,2/11/2014,,14,184
217,Beautiful loft,85663,David,Manhatan,Chelsea,40.51671,-73.87091,Entire home/apt,$314 ,7,275,2/10/2019,7.49,17,176
569,  Spacious 2BR  ,46908,James,Brooklyn,Bushwick,40.87175,-73.74499,Entire home/apt,336,30,66,12/2/2015,0.37,14,259
726,,61508,Emma,QUEENS,Elmhurst,40.6201,-73.90437,Shared room,275,365,381,4/19/2014,0.44,11,180
722,,7553,Lisa,The Bronx,Riverdale,40.78166,-74.02019,PRIVATE ROOM,$343 ,1,95,12/3/2012,4.34,3,351
98,Beautiful loft,69069,Anna,Brooklyn ,Bushwick,40.80199,-74.02038,PRIVATE ROOM,kj,365,205,1/2/2019,1.38,15,170
500,Modern studio,6836,Sarah,brooklyn,Williamsburg,40.56526,-73.9673,entire home/apt,486,1,124,23/09/2011,6.28,4,63
